"Gene Symbol","miRNA","Validated"
"TAGLN","hsa-let-7c","0"
"EEF2","hsa-miR-197","0"
"HSPA1A","hsa-miR-15b","0"
"A2M","hsa-miR-381","0"
"ACTB","hsa-miR-221","0"
"EEF1A1","hsa-miR-22","0"
"SEMG2","hsa-miR-204","0"
"ACPP","hsa-miR-98","0"
"CSRP1","hsa-let-7b","0"
"TAGLN","hsa-let-7b","0"
"TAGLN","hsa-miR-185","0"
"EEF2","hsa-miR-224","0"
"EEF1A1","hsa-miR-181c","0"
"TPT1","hsa-miR-27b","0"
"TPM2","hsa-miR-424","0"
"TPT1","hsa-let-7i","0"
"ACPP","hsa-miR-504","0"
"EEF2","hsa-miR-489","0"
"ACTA2","hsa-miR-569","0"
"ACTA2","hsa-miR-650","0"
"ACTB","hsa-miR-375","0"
"CSRP1","hsa-miR-617","0"
"CSRP1","hsa-miR-661","0"
"ACPP","hsa-miR-10a","0"
"ACTA2","hsa-miR-641","0"
"HSPA1A","hsa-miR-206","0"
"HSP90AA1","hsa-miR-616","0"
"TAGLN","hsa-miR-708","0"
"HSPA1A","hsa-miR-30d","0"
"ACTA2","hsa-miR-181d","0"
"EEF2","hsa-miR-346","0"
"TAGLN","hsa-miR-765","0"
"EEF2","hsa-miR-617","0"
"EEF2","hsa-miR-620","0"
"EEF1A1","hsa-miR-106a","0"
"AZGP1","hsa-miR-221","0"
"SYNPO2","hsa-miR-20b","0"
"ACTA2","hsa-miR-146a","0"
"TAGLN","hsa-let-7e","0"
"NPY","hsa-miR-641","0"
"TPT1","hsa-miR-130a","0"
"NPY","hsa-miR-448","0"
"AZGP1","hsa-miR-143","0"
"TAGLN","hsa-miR-133b","0"
"ACTA2","hsa-miR-484","1"
"ACTA2","hsa-miR-21","1"
"SLC45A3","hsa-miR-34c","0"
"EEF1A1","hsa-miR-520c","0"
"GAPDH","hsa-miR-320a","1"
"HSPA1A","hsa-miR-15a","1"
"TAGLN","hsa-miR-22","0"
"EEF1A1","hsa-miR-148b","0"
"ACPP","hsa-miR-326","0"
"EEF1A1","hsa-miR-520b","0"
"ACPP","hsa-let-7c","0"
"EEF1A1","hsa-miR-520g","0"
"EEF1A1","hsa-miR-520h","0"
"TAGLN","hsa-miR-940","0"
"EEF1A1","hsa-miR-520e","0"
"EEF1A1","hsa-miR-569","0"
"EEF1A1","hsa-miR-608","0"
"EEF1A1","hsa-miR-662","0"
"EEF1A1","hsa-miR-373","0"
"CSRP1","hsa-miR-940","0"
"NPY","hsa-miR-30e","0"
"HSPA1A","hsa-miR-185","0"
"FLNA","hsa-miR-296","0"
"ACTA2","hsa-miR-765","0"
"EEF2","hsa-miR-632","0"
"RDH11","hsa-miR-34c","0"
"FLNA","hsa-miR-34a","0"
"FLNA","hsa-miR-107","0"
"EEF1A1","hsa-miR-451","0"
"TAGLN","hsa-miR-145","0"
"TAGLN","hsa-miR-1262","0"
"ACPP","hsa-let-7d","0"
"HSPA1A","hsa-miR-34c","0"
"EEF2","hsa-miR-132","0"
"ACTA2","hsa-miR-145","0"
"ACPP","hsa-miR-320a","0"
"AZGP1","hsa-miR-605","0"
"EEF1A1","hsa-miR-126","0"
"NPY","hsa-miR-195","0"
"EEF1A1","hsa-miR-148a","0"
"EEF1A1","hsa-miR-612","0"
"ACPP","hsa-miR-214","0"
"PABPC1","hsa-miR-32","0"
"EEF1A1","hsa-miR-377","0"
"CSRP1","hsa-miR-1262","0"
"EEF1A1","hsa-miR-33a","0"
"EEF1A1","hsa-miR-34c","0"
"ACPP","hsa-miR-33a","0"
"EEF1A1","hsa-miR-421","1"
"GAPDH","hsa-miR-675","0"
"AZGP1","hsa-miR-608","0"
"AZGP1","hsa-miR-662","0"
"AZGP1","hsa-miR-510","0"
"AZGP1","hsa-miR-943","0"
"CSRP1","hsa-miR-491","0"
"CALD1","hsa-miR-20b","0"
"OLFM4","hsa-let-7b","0"
"ACTA2","hsa-miR-143","0"
"EEF1A1","hsa-miR-484","1"
"OLFM4","hsa-let-7i","0"
"HSPA1A","hsa-miR-34a","0"
"ACTA2","hsa-miR-107","0"
"TPT1","hsa-miR-203","0"
"TAGLN","hsa-miR-143","0"
"TPT1","hsa-miR-150","0"
"TPM2","hsa-miR-155","0"
"ACPP","hsa-miR-424","0"
"AZGP1","hsa-miR-675","0"
"ACTB","hsa-miR-34a","0"
"HSPA1A","hsa-miR-30a","0"
"EEF2","hsa-miR-96","0"
"MYLK","hsa-miR-625","0"
"EEF2","hsa-miR-212","0"
"RPL8","hsa-miR-214","0"
"EEF2","hsa-miR-193b","0"
"RPS6","hsa-miR-10b","0"
"TPT1","hsa-miR-146a","0"
"AZGP1","hsa-miR-935","0"
"ACPP","hsa-miR-10b","0"
"B2M","hsa-miR-301b","0"
"EEF1A1","hsa-miR-93","0"
"RPL15","hsa-miR-659","0"
